product_id,product_name,category,price
1,A segurança de conseguir naturalmente,Livros,320.05
2,A liberdade de mudar com toda a tranquilidade,Esportes,312.33
3,A simplicidade de avançar de maneira eficaz,Livros,379.57
4,A arte de evoluir de maneira eficaz,Livros,515.72
5,O poder de conseguir em estado puro,Brinquedos,600.46
6,O prazer de avançar em estado puro,Saúde,389.87
7,A liberdade de avançar simplesmente,Livros,491.8
8,A vantagem de evoluir em estado puro,Automotivo,696.5
9,A arte de mudar antes de tudo,Livros,559.36
10,O conforto de conseguir antes de tudo,Alimentos,295.95
11,O prazer de conseguir de maneira eficaz,Livros,321.43
12,O direito de conseguir direto da fonte,Alimentos,623.22
13,O poder de atingir seus objetivos em estado puro,Beleza,952.32
14,O prazer de realizar seus sonhos naturalmente,Alimentos,145.17
15,O direito de inovar de maneira eficaz,Brinquedos,964.19
16,O direito de realizar seus sonhos com toda a tranquilidade,Automotivo,656.54
17,A simplicidade de mudar com força total,Brinquedos,687.85
18,A certeza de ganhar simplesmente,Brinquedos,713.04
19,A segurança de atingir seus objetivos sem preocupação,Alimentos,493.81
20,O poder de evoluir antes de tudo,Roupas,569.74
21,A segurança de mudar mais facilmente,Esportes,299.17
22,A segurança de avançar sem preocupação,Casa e Jardim,232.59
23,O poder de ganhar com toda a tranquilidade,Casa e Jardim,176.53
24,O poder de evoluir com toda a tranquilidade,Alimentos,569.99
25,O direito de realizar seus sonhos com toda a tranquilidade,Alimentos,554.23
26,A vantagem de conseguir direto da fonte,Roupas,576.99
27,A liberdade de evoluir simplesmente,Casa e Jardim,777.36
28,A certeza de ganhar mais rapidamente,Beleza,546.62
29,A segurança de conseguir com força total,Eletrônicos,762.4
30,A liberdade de atingir seus objetivos direto da fonte,Alimentos,550.89
31,A arte de mudar de maneira eficaz,Brinquedos,111.39
32,A possibilidade de inovar simplesmente,Esportes,304.73
33,O conforto de avançar mais rapidamente,Eletrônicos,455.24
34,O poder de concretizar seus projetos simplesmente,Beleza,863.58
35,A vantagem de conseguir com toda a tranquilidade,Roupas,444.68
36,O direito de ganhar com força total,Roupas,777.88
37,A arte de evoluir mais rapidamente,Esportes,217.78
38,A vantagem de atingir seus objetivos com toda a tranquilidade,Saúde,692.24
39,O poder de conseguir simplesmente,Saúde,636.44
40,O poder de evoluir de maneira eficaz,Livros,619.99
41,O direito de ganhar antes de tudo,Esportes,815.39
42,O prazer de inovar sem preocupação,Eletrônicos,574.37
43,A segurança de evoluir de maneira eficaz,Automotivo,288.27
44,O prazer de avançar antes de tudo,Automotivo,176.69
45,A simplicidade de realizar seus sonhos de maneira eficaz,Casa e Jardim,296.44
46,A simplicidade de atingir seus objetivos com confiança,Casa e Jardim,952.87
47,O prazer de evoluir mais rapidamente,Automotivo,985.63
48,A possibilidade de avançar em estado puro,Roupas,144.23
49,A segurança de ganhar com força total,Brinquedos,919.58
50,O poder de avançar mais rapidamente,Casa e Jardim,868.38
51,A simplicidade de realizar seus sonhos antes de tudo,Livros,704.41
52,A possibilidade de realizar seus sonhos mais rapidamente,Livros,257.18
53,A vantagem de concretizar seus projetos com confiança,Beleza,830.2
54,O conforto de avançar naturalmente,Brinquedos,494.56
55,A segurança de ganhar simplesmente,Saúde,636.08
56,A possibilidade de mudar mais rapidamente,Brinquedos,381.42
57,A vantagem de evoluir em estado puro,Roupas,637.29
58,O conforto de realizar seus sonhos com toda a tranquilidade,Roupas,408.82
59,A certeza de conseguir direto da fonte,Casa e Jardim,697.76
60,A possibilidade de evoluir mais facilmente,Beleza,460.15
61,O conforto de conseguir de maneira eficaz,Alimentos,334.02
62,A possibilidade de mudar com força total,Eletrônicos,870.22
63,A possibilidade de evoluir direto da fonte,Roupas,733.62
64,O conforto de evoluir de maneira eficaz,Alimentos,638.49
65,O prazer de inovar com toda a tranquilidade,Beleza,851.61
66,A certeza de mudar com confiança,Automotivo,403.74
67,A possibilidade de avançar mais rapidamente,Brinquedos,826.6
68,A arte de mudar com confiança,Alimentos,275.85
69,A liberdade de evoluir com confiança,Casa e Jardim,344.38
70,O conforto de conseguir direto da fonte,Saúde,139.29
71,A segurança de inovar com confiança,Alimentos,790.42
72,A simplicidade de evoluir mais facilmente,Eletrônicos,55.48
73,O direito de ganhar mais facilmente,Alimentos,26.12
74,A simplicidade de ganhar com confiança,Livros,446.87
75,A segurança de evoluir em estado puro,Eletrônicos,991.92
76,O poder de ganhar de maneira eficaz,Brinquedos,210.3
77,A certeza de atingir seus objetivos simplesmente,Livros,883.33
78,A liberdade de conseguir antes de tudo,Casa e Jardim,167.39
79,O direito de concretizar seus projetos sem preocupação,Casa e Jardim,102.41
80,O poder de avançar com força total,Beleza,257.89
81,O conforto de avançar direto da fonte,Beleza,667.86
82,A liberdade de evoluir com força total,Livros,61.27
83,O poder de avançar sem preocupação,Casa e Jardim,728.73
84,O poder de conseguir mais facilmente,Esportes,434.94
85,O prazer de conseguir com toda a tranquilidade,Roupas,706.66
86,A possibilidade de inovar mais rapidamente,Eletrônicos,221.29
87,O poder de evoluir mais facilmente,Roupas,141.37
88,A simplicidade de avançar naturalmente,Esportes,524.25
89,A segurança de realizar seus sonhos de maneira eficaz,Alimentos,19.19
90,O poder de realizar seus sonhos antes de tudo,Beleza,818.94
91,O poder de concretizar seus projetos de maneira eficaz,Brinquedos,697.09
92,A simplicidade de atingir seus objetivos mais facilmente,Alimentos,80.12
93,A vantagem de realizar seus sonhos naturalmente,Brinquedos,98.44
94,A arte de conseguir com toda a tranquilidade,Roupas,112.17
95,A certeza de inovar direto da fonte,Beleza,882.18
96,O direito de atingir seus objetivos naturalmente,Livros,388.89
97,A liberdade de inovar com força total,Livros,645.16
98,A simplicidade de atingir seus objetivos antes de tudo,Livros,77.73
99,A certeza de atingir seus objetivos mais facilmente,Saúde,18.39
100,A simplicidade de evoluir mais facilmente,Livros,445.7
101,O conforto de atingir seus objetivos mais rapidamente,Esportes,631.8
102,A certeza de evoluir com toda a tranquilidade,Livros,920.7
